FID,FID_,address,adname,adcode,pname,cityname,name,long,lat,_id,type,data_proce
0,70,东中街9号地下一层EA9A号,东城区,110101,北京市,北京市,北京幸福蜜思甜功坊食品中心,116.436288,39.938691,k#20170617#9532fdae0c8290ad5f2569de212c0833,餐饮服务;餐饮相关场所;餐饮相关, 
1,87,西单新一代商城七层,西城区,110102,北京市,北京市,十三王爷快餐店,116.375193,39.911775,f#20170617#3071c16e395276e477c0ed30a5a3e507,餐饮服务;餐饮相关场所;餐饮相关, 
2,110,丰台北路18号恒泰广场5层K04,丰台区,110106,北京市,北京市,凸凸鲁(恒泰广场店),116.307056,39.866575,1#20170618#f50a1fae2973988adfff2611b3693cbe,餐饮服务;餐饮相关场所;餐饮相关, 
3,137,新居里甲3号楼1层12,大兴区,110115,北京市,北京市,久久鸭周黑鸭,116.35644,39.739043,h#20170618#36172aa1b0b7a7dd00b49295618506c2,餐饮服务;餐饮相关场所;餐饮相关, 
4,151,良乡镇太平庄加油站对面-碟翠苑小区1号8,房山区,110111,北京市,北京市,果立方(蝶翠苑店),116.118196,39.729573,9#20170618#8d92ca9f0e5b216a0273bae41d07ac3f,餐饮服务;餐饮相关场所;餐饮相关, 
5,184,天竺镇俯前二街小王辛庄南路10号(林海缘ktv北50米),顺义区,110113,北京市,北京市,纪妈妈老汤剁馅汤水饺,116.574951,40.065582,y#20170618#7851e022791d31cccd3ca10b7c9897ba,餐饮服务;餐饮相关场所;餐饮相关, 
6,218,花园东路16号院1号楼一层南侧(住宅),海淀区,110108,北京市,北京市,黄焖鸡米饭(后街翅吧),116.370895,39.98066,3#20170618#2250e1970fb1b8f221137ecc4d063911,餐饮服务;餐饮相关场所;餐饮相关, 
7,240,马连道华睦大厦一层,西城区,110102,北京市,北京市,龙润茶家庭茶室,116.32514,39.88139,7#20170617#f84000bb9dec3ce5ff537dd884b2d931,餐饮服务;餐饮相关场所;餐饮相关, 
8,243,怡乐北街105号附近,通州区,110112,北京市,北京市,凉皮凉面素丸子,116.648968,39.888371,2#20170618#49c32d406b110601afeca3e22fe558c2,餐饮服务;餐饮相关场所;餐饮相关, 
9,341,永辉超市千禧街店1层,丰台区,110106,北京市,北京市,千禧鸿运美食城,116.28406,39.88999,g#20170621#5716536106aa67af80329befc8d68550,餐饮服务;餐饮相关场所;餐饮相关, 
10,351,沙河北大桥北二村,昌平区,110114,北京市,北京市,吉得利味觉体验馆,116.262973,40.135838,9#20170618#e46638511a370d49d2f5cda93a33e320,餐饮服务;餐饮相关场所;餐饮相关, 
11,483,前门大街52号(前门大街),东城区,110101,北京市,北京市,庆丰包子铺(前门店),116.39833,39.895565,y#20170617#d360bc78fb7ce7c30db244716015a291,餐饮服务;餐饮相关场所;餐饮相关, 
12,494,团河中街西三巷13号附近,大兴区,110115,北京市,北京市,小五特色饼屋,116.385462,39.749394,i#20170618#4ab10942c7ca960fd1befb8742b11adf,餐饮服务;餐饮相关场所;餐饮相关, 
13,516,胡家垡路与铺胡路交叉口东150米,通州区,110112,北京市,北京市,焰福大铁锅烧烤坊,116.6134,39.834673,1#20170618#115c72eb65feeb08e55dd6033ce27d82,餐饮服务;餐饮相关场所;餐饮相关, 
14,521,文华西路与龙腾街交叉口东100米,昌平区,110114,北京市,北京市,东北菜团子贴饼子,116.340728,40.075796,v#20170618#cfd89f7b25169fd893061e886188fd19,餐饮服务;餐饮相关场所;餐饮相关, 
15,526,宋庄焦刘路尚东庭西区2号,通州区,110112,北京市,北京市,回味大草原烤全羊,116.677504,39.9381,r#20170618#1d3d520a4b472ba2581f1145770e68c4,餐饮服务;餐饮相关场所;餐饮相关, 
